,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
cluster,emea/balrog,emea/balrog,emea/balrog,emea/balrog,emea/balrog,emea/balrog,emea/balrog,emea/balrog,emea/rick,emea/rick,emea/rick,emea/rick,emea/rick,emea/rick,moc/infra,moc/infra,moc/infra,moc/smaug,moc/smaug,moc/smaug,moc/smaug,moc/smaug,moc/smaug,moc/smaug,moc/smaug,moc/smaug,moc/smaug,moc/smaug,moc/smaug,moc/smaug,moc/smaug,moc/smaug,moc/smaug,moc/smaug,moc/smaug,moc/smaug,moc/smaug,moc/smaug,moc/smaug,moc/smaug,moc/smaug,moc/smaug,moc/smaug,moc/smaug,moc/smaug
container,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy,kube-rbac-proxy
endpoint,https,https,https,https,https,https,https,https,https,https,https,https,https,https,https,https,https,https,https,https,https,https,https,https,https,https,https,https,https,https,https,https,https,https,https,https,https,https,https,https,https,https,https,https,https
instance,ip-10-0-188-168.eu-west-2.compute.internal,ip-10-0-149-70.eu-west-2.compute.internal,ip-10-0-152-186.eu-west-2.compute.internal,ip-10-0-219-197.eu-west-2.compute.internal,ip-10-0-130-215.eu-west-2.compute.internal,ip-10-0-220-68.eu-west-2.compute.internal,ip-10-0-175-130.eu-west-2.compute.internal,ip-10-0-174-75.eu-west-2.compute.internal,host01.emea.operate-first.cloud,host05.emea.operate-first.cloud,host04.emea.operate-first.cloud,host06.emea.operate-first.cloud,host07.emea.operate-first.cloud,host02.emea.operate-first.cloud,os-ctrl-0.moc-infra.massopen.cloud,os-ctrl-1.moc-infra.massopen.cloud,os-ctrl-2.moc-infra.massopen.cloud,oct-03-14-compute,oct-03-19-compute,oct-03-26-compute,oct-03-28-compute,oct-03-12-compute,oct-03-20-compute,oct-03-15-compute,oct-03-08-compute,oct-03-24-compute,oct-03-09-compute,oct-03-23-compute,oct-10-06-control,oct-03-21-compute,oct-10-04-control,oct-03-03-compute,oct-03-10-compute,oct-03-31-compute,oct-03-04-compute,oct-03-27-compute,oct-03-00-compute,oct-10-05-control,oct-03-29-compute,oct-03-25-compute,oct-03-17-compute,oct-03-22-compute,oct-03-11-compute,oct-03-13-compute,oct-03-01-compute
job,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter
namespace,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring,openshift-monitoring
pod,node-exporter-4pt8k,node-exporter-9hc5d,node-exporter-bkkfx,node-exporter-jcx76,node-exporter-jrg89,node-exporter-njxdd,node-exporter-r69xg,node-exporter-skt5q,node-exporter-cqsz4,node-exporter-crlqq,node-exporter-kvpn9,node-exporter-kzs8g,node-exporter-ss7cj,node-exporter-zxcpg,node-exporter-2mlnj,node-exporter-jbwbn,node-exporter-rsqzv,node-exporter-2qntt,node-exporter-4zrdb,node-exporter-78x8h,node-exporter-7gnxb,node-exporter-7gzd2,node-exporter-7xbb9,node-exporter-8v5rh,node-exporter-969fq,node-exporter-bq8tq,node-exporter-c4d4t,node-exporter-ff9rw,node-exporter-h8z5m,node-exporter-hgc8k,node-exporter-hk7dt,node-exporter-jpdmr,node-exporter-ljx2s,node-exporter-mbd2x,node-exporter-mtx6j,node-exporter-mwscz,node-exporter-pgcc9,node-exporter-px5rp,node-exporter-r8ctl,node-exporter-t9q9x,node-exporter-v95br,node-exporter-vglsj,node-exporter-wlfmm,node-exporter-wnlpt,node-exporter-wp9dw
prometheus,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s,openshift-monitoring/k8s
service,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter,node-exporter
tenant_id,emea-balrog,emea-balrog,emea-balrog,emea-balrog,emea-balrog,emea-balrog,emea-balrog,emea-balrog,emea-rick,emea-rick,emea-rick,emea-rick,emea-rick,emea-rick,moc-infra,moc-infra,moc-infra,moc-smaug,moc-smaug,moc-smaug,moc-smaug,moc-smaug,moc-smaug,moc-smaug,moc-smaug,moc-smaug,moc-smaug,moc-smaug,moc-smaug,moc-smaug,moc-smaug,moc-smaug,moc-smaug,moc-smaug,moc-smaug,moc-smaug,moc-smaug,moc-smaug,moc-smaug,moc-smaug,moc-smaug,moc-smaug,moc-smaug,moc-smaug,moc-smaug
2022-06-10_12_00_00,12.169148154147097,11.078354895319546,23.338022870871665,12.528354341140744,6.611390299892424,8.549756419680792,4.25043800097861,28.20943106660169,3.077246253941154,6.932751774184117,2.172861866980223,7.804139036468535,10.948968388385891,3.04687293642701,3.2844252272515204,6.809490507103923,5.815393826144464,1.894869112766224,3.337471277975696,1.2363152234082653,1.664545235410405,4.201114466696797,0.8430655765669663,1.005216700287341,3.5737078494333248,0.7986092918993372,9.655714483611131,0.7982957379483222,0.524182629411522,0.6938817563081819,0.4480242944794624,4.848403004931528,5.7046775409467845,2.096601366854664,7.028888046203415,1.1752487818293074,2.5856218908385884,0.6535771307819688,1.3234419915912017,8.882922471823418,3.171304697944532,3.8658847286243754,1.824829333457008,13.64007305052002,1.229802881412846
